epoch,train_loss,val_loss,val_miou,pixel_accuracy,dice
0,1.8556,1.4792,0.5319,0.8636,0.7796
1,1.5756,1.2498,0.6006,0.8872,0.7675
2,1.4695,1.2182,0.6010,0.8877,0.7567
3,1.3922,1.1721,0.6247,0.8963,0.7513
4,1.3357,1.1255,0.6337,0.9044,0.7442
5,1.2997,1.1069,0.6556,0.8994,0.7407
6,1.2657,1.1258,0.6759,0.9071,0.7371
7,1.2518,1.0721,0.6774,0.9082,0.7366
8,1.2168,1.0342,0.6777,0.9124,0.7349
9,1.1832,1.0518,0.6849,0.9133,0.7277
10,1.1798,1.0219,0.6948,0.9164,0.7228
11,1.1469,1.1085,0.6832,0.9094,0.7228
12,1.1320,1.0612,0.6937,0.9145,0.7138
13,1.1121,1.0802,0.6881,0.9128,0.7121
14,1.0811,1.0410,0.6867,0.9159,0.7043
15,1.0595,1.0678,0.6915,0.9143,0.7067
16,1.0508,1.0109,0.7067,0.9186,0.6863
17,1.0460,1.0369,0.7012,0.9178,0.6879
18,1.0301,1.0156,0.7056,0.9194,0.6841
19,1.0165,1.0156,0.7112,0.9186,0.6819
20,1.0122,0.9908,0.7102,0.9203,0.6687
21,1.0115,1.0005,0.7121,0.9184,0.6712
22,0.9920,1.0187,0.7176,0.9207,0.6684
23,1.0084,0.9605,0.7101,0.9212,0.6532
