epoch,train_loss,val_loss,val_miou,pixel_accuracy,dice
1,1.8648,1.3904,0.5825,0.8558,0.7868
2,1.4003,1.1371,0.6300,0.8916,0.7607
3,1.2771,1.0495,0.6510,0.9008,0.7494
4,1.2364,1.0218,0.6675,0.9064,0.7434
5,1.1955,1.0034,0.6787,0.9084,0.7395
6,1.1796,0.9704,0.6983,0.9157,0.7317
7,1.1508,0.9467,0.7028,0.9166,0.7110
8,1.1386,0.9306,0.6677,0.9151,0.6832
9,1.0909,0.9221,0.6636,0.9085,0.6621
10,1.0547,0.8785,0.6965,0.9173,0.6377
11,1.0160,0.8703,0.6938,0.9135,0.6194
12,0.9687,0.8345,0.7000,0.9164,0.5919
13,0.9188,0.7948,0.7070,0.9157,0.5401
14,0.8720,0.7417,0.7008,0.9172,0.4769
15,0.8225,0.7317,0.7074,0.9186,0.4790
16,0.7857,0.7147,0.7221,0.9208,0.4780
17,0.7572,0.6977,0.6970,0.9177,0.4277
18,0.7439,0.7147,0.7091,0.9189,0.4589
19,0.7288,0.6760,0.7192,0.9220,0.4344
20,0.7097,0.6884,0.7063,0.9181,0.4216
21,0.7040,0.6794,0.7088,0.9197,0.4205
22,0.6883,0.6716,0.7126,0.9213,0.4181
23,0.6823,0.6860,0.7021,0.9178,0.4133
24,0.6598,0.6570,0.7123,0.9222,0.4110
25,0.6512,0.6461,0.7066,0.9199,0.3839
26,0.6523,0.6357,0.7024,0.9193,0.3784
27,0.6212,0.6092,0.7141,0.9214,0.3547
28,0.6217,0.6124,0.6632,0.9082,0.3111
29,0.6096,0.5436,0.7275,0.9225,0.3095
30,0.5973,0.5738,0.6936,0.9173,0.2990
31,0.6122,0.5455,0.7038,0.9160,0.2692
32,0.6108,0.5040,0.6948,0.9174,0.2242
33,0.5971,0.4776,0.7018,0.9179,0.2003
34,0.6040,0.4766,0.6991,0.9191,0.2113
35,0.5849,0.4610,0.7035,0.9197,0.1893
36,0.5997,0.5341,0.6426,0.9073,0.2098
37,0.6122,0.5029,0.6469,0.9071,0.1713
38,0.5941,0.4807,0.6966,0.9145,0.1708
39,0.5919,0.5490,0.6304,0.9039,0.1827
