epoch,train_loss,val_loss,val_miou,pixel_accuracy,dice
0,2.0564,1.5444,0.4495,0.8644,0.8197
1,1.7189,1.3896,0.5124,0.8773,0.7951
2,1.5767,1.3322,0.5787,0.8711,0.7847
3,1.4821,1.2153,0.6547,0.9025,0.7723
4,1.3936,1.1427,0.6753,0.9066,0.7607
5,1.3540,1.1119,0.7035,0.9135,0.7582
6,1.3120,1.0774,0.6944,0.9149,0.7524
7,1.2811,1.0613,0.7097,0.9134,0.7462
8,1.2520,1.0276,0.7132,0.9180,0.7437
9,1.2332,1.0318,0.7167,0.9194,0.7461
10,1.1990,1.0189,0.7250,0.9185,0.7399
11,1.1887,1.0040,0.7239,0.9212,0.7410
12,1.1782,0.9912,0.7267,0.9227,0.7374
13,1.1776,0.9857,0.7231,0.9230,0.7378
14,1.1587,0.9772,0.7236,0.9227,0.7359
15,1.1547,0.9800,0.7253,0.9215,0.7362
16,1.1374,0.9736,0.7265,0.9223,0.7355
17,1.1336,0.9665,0.7359,0.9245,0.7336
18,1.1370,0.9685,0.7308,0.9236,0.7330
19,1.1312,0.9660,0.7369,0.9243,0.7329
20,1.1392,0.9691,0.7230,0.9228,0.7337
21,1.1254,0.9671,0.7247,0.9226,0.7342
22,1.1276,0.9641,0.7279,0.9233,0.7324
23,1.1290,0.9641,0.7251,0.9229,0.7332
24,1.1215,0.9637,0.7269,0.9234,0.7321
25,1.1201,0.9617,0.7313,0.9229,0.7320
26,1.1127,0.9544,0.7335,0.9242,0.7316
